CIDADE,ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),CRECHE,EJA,ENSINO FUNDAMENTAL,ENSINO Mï¿½DIO,ENSINO Mï¿½DIO INTEGRAL,INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - QUILOMBOLA,PRï¿½-ESCOLA,QUILOMBOLA
MG-CAMPO AZUL,0.0,15836.0,0.0,26784.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.0,0.0
MG-CAMPO BELO,4558.0,118128.0,8896.0,269518.0,0.0,0.0,0.0,0.0,0.0,0.0,151966.0,0.0
MG-CAMPO DO MEIO,0.0,12626.0,3520.0,51336.0,0.0,0.0,0.0,0.0,0.0,0.0,42362.0,0.0
MG-CAMPO FLORIDO,5406.0,46438.0,6206.0,48456.0,0.0,0.0,0.0,0.0,0.0,0.0,27052.0,0.0
MG-CAMPOS ALTOS,63.6,48792.0,0.0,60613.2,0.0,0.0,0.0,0.0,0.0,0.0,36384.0,0.0
MG-CAMPOS GERAIS,0.0,100580.0,6400.0,60552.0,0.0,0.0,0.0,0.0,0.0,0.0,71430.0,0.0
MG-CANA VERDE,0.0,6848.0,0.0,24624.0,0.0,0.0,0.0,0.0,0.0,0.0,12508.0,0.0
MG-CANAA,0.0,1968.8,0.0,10259.2,0.0,0.0,0.0,0.0,0.0,0.0,4876.0,0.0
MG-CANAPOLIS,1378.0,35738.0,768.0,58046.0,0.0,0.0,0.0,0.0,0.0,0.0,27136.0,0.0
MG-CANDEIAS,4028.0,11342.0,2880.0,63188.0,0.0,0.0,0.0,0.0,0.0,0.0,26454.0,0.0
MG-CANTAGALO,0.0,0.0,1398.0,14385.6,0.0,0.0,0.0,0.0,0.0,0.0,7504.8,1382.4
MG-CAPARAO,318.0,12626.0,960.0,39520.0,0.0,0.0,0.0,0.0,0.0,0.0,12508.0,0.0
MG-CAPELA NOVA,1166.0,0.0,0.0,20520.0,0.0,0.0,0.0,0.0,0.0,0.0,8162.0,0.0
MG-CAPELINHA,1484.0,96300.0,9984.0,69766.0,0.0,0.0,0.0,0.0,0.0,0.0,130802.0,16256.0
MG-CAPETINGA,3052.8,0.0,921.6,32428.8,0.0,0.0,0.0,0.0,0.0,0.0,14161.6,0.0
MG-CAPIM BRANCO,848.0,0.0,832.0,48526.0,0.0,0.0,0.0,0.0,0.0,0.0,29684.0,0.0
MG-CAPINOPOLIS,8692.0,51146.0,3328.0,64728.0,0.0,0.0,0.0,0.0,0.0,0.0,31588.0,0.0
MG-CAPITAO ANDRADE,1166.0,24396.0,0.0,53176.0,0.0,0.0,0.0,0.0,0.0,0.0,13992.0,0.0
MG-CAPITAO ENEAS,0.0,28676.0,1984.0,61416.0,0.0,0.0,0.0,18971.2,0.0,0.0,40520.0,0.0
MG-CAPITOLIO,0.0,25038.0,1344.0,33458.0,0.0,0.0,0.0,0.0,0.0,0.0,29754.0,0.0
MG-CAPUTIRA,318.0,8132.0,1536.0,37779.0,0.0,0.0,0.0,0.0,0.0,0.0,23850.0,0.0
MG-CARAI,0.0,44298.0,11712.0,110088.0,0.0,0.0,0.0,0.0,0.0,0.0,54522.0,0.0
MG-CARANAIBA,0.0,0.0,0.0,13284.0,0.0,0.0,0.0,0.0,0.0,0.0,5914.8,0.0
MG-CARANDAI,0.0,38092.0,5632.0,149544.0,0.0,0.0,0.0,0.0,0.0,0.0,62116.0,0.0
MG-CARANGOLA,7844.0,71476.0,1600.0,97770.0,0.0,0.0,0.0,5680.0,0.0,0.0,72538.0,0.0
MG-CARATINGA,7208.0,224914.0,18944.0,207280.0,0.0,0.0,0.0,11700.8,0.0,0.0,240946.0,0.0
MG-CARBONITA,0.0,40232.0,896.0,43272.0,0.0,0.0,0.0,0.0,0.0,0.0,22790.0,0.0
MG-CAREACU,1272.0,14338.0,960.0,31968.0,0.0,0.0,0.0,0.0,0.0,0.0,23526.0,0.0
MG-CARLOS CHAGAS,0.0,20972.0,3264.0,118728.0,0.0,0.0,0.0,0.0,0.0,0.0,42294.0,6528.0
MG-CARMESIA,0.0,10914.0,0.0,29846.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,0.0
MG-CARMO DA CACHOEIRA,742.0,41730.0,3328.0,64932.0,0.0,0.0,0.0,0.0,0.0,0.0,37924.0,0.0
MG-CARMO DA MATA,0.0,26322.0,704.0,75700.0,0.0,0.0,0.0,0.0,0.0,0.0,25890.0,0.0
MG-CARMO DE MINAS,0.0,19260.0,3648.0,49176.0,0.0,0.0,0.0,0.0,0.0,0.0,25122.0,0.0
MG-CARMO DO CAJURU,1484.0,68052.0,0.0,95616.0,0.0,0.0,0.0,0.0,0.0,0.0,54908.0,0.0
MG-CARMO DO PARANAIBA,0.0,72332.0,1920.0,131872.0,0.0,0.0,0.0,0.0,0.0,0.0,86576.0,0.0
MG-CARMO DO RIO CLARO,1060.0,29746.0,3712.0,71980.0,0.0,0.0,0.0,0.0,0.0,0.0,42242.0,0.0
MG-CARMOPOLIS DE MINAS,2120.0,10058.0,1344.0,147536.0,0.0,0.0,0.0,0.0,0.0,0.0,42032.0,0.0
MG-CARNEIRINHO,2438.0,26964.0,0.0,63082.0,0.0,0.0,0.0,0.0,0.0,0.0,27736.0,0.0
MG-CARRANCAS,0.0,6634.0,0.0,20160.0,0.0,0.0,0.0,0.0,0.0,0.0,11448.0,0.0
MG-CARVALHOPOLIS,1696.0,15194.0,3072.0,33120.0,0.0,0.0,0.0,0.0,0.0,0.0,10858.0,0.0
MG-CARVALHOS,0.0,0.0,1382.4,13248.0,0.0,0.0,0.0,0.0,0.0,0.0,7801.6,0.0
MG-CASA GRANDE,0.0,0.0,0.0,20088.0,0.0,0.0,0.0,0.0,0.0,0.0,4028.0,0.0
MG-CASCALHO RICO,0.0,10700.0,640.0,26600.0,0.0,0.0,0.0,0.0,0.0,0.0,5618.0,0.0
MG-CASSIA,0.0,76398.0,512.0,79912.0,4608.0,0.0,0.0,0.0,0.0,0.0,57198.0,0.0
MG-CATAGUASES,7738.0,193028.0,16640.0,286774.0,12744.0,0.0,0.0,0.0,0.0,0.0,165760.0,0.0
MG-CATAS ALTAS,0.0,16050.0,704.0,26135.79,0.0,0.0,0.0,0.0,0.0,0.0,14204.0,0.0
MG-CATAS ALTAS DA NORUEGA,0.0,4237.2,1728.0,2116.8,5392.8,0.0,0.0,0.0,0.0,0.0,5215.2,0.0
MG-CATUJI,2014.0,9416.0,4032.0,75262.0,0.0,0.0,0.0,0.0,0.0,0.0,27242.0,0.0
MG-CATUTI,0.0,8602.8,460.8,14990.4,0.0,0.0,0.0,0.0,0.0,0.0,10303.2,2457.6
MG-CAXAMBU,1484.0,68908.0,4800.0,68904.0,0.0,0.0,0.0,0.0,0.0,0.0,46720.0,0.0
MG-CEDRO DO ABAETE,0.0,5136.0,0.0,5184.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0
MG-CENTRAL DE MINAS,1060.0,12840.0,1344.0,27576.0,0.0,0.0,0.0,0.0,0.0,0.0,16006.0,0.0
MG-CENTRALINA,636.0,32956.0,3528.0,50524.0,0.0,0.0,0.0,0.0,0.0,0.0,21144.0,0.0
MG-CHACARA,1812.6,5200.2,748.8,25142.4,0.0,0.0,0.0,0.0,0.0,0.0,7632.0,0.0
MG-CHALE,0.0,11342.0,0.0,17352.0,0.0,0.0,0.0,0.0,0.0,0.0,13462.0,0.0
MG-CHAPADA DO NORTE,0.0,44084.0,8512.0,28152.0,0.0,0.0,0.0,0.0,0.0,0.0,31080.0,20224.0
MG-CHAPADA GAUCHA,1272.0,43656.0,0.0,82296.0,0.0,0.0,0.0,0.0,0.0,0.0,34132.0,4864.0
MG-CHIADOR,0.0,0.0,0.0,29160.0,0.0,0.0,0.0,0.0,0.0,0.0,9564.0,0.0
MG-CIPOTANEA,0.0,0.0,0.0,18922.0,0.0,0.0,0.0,0.0,0.0,0.0,11554.0,0.0
MG-CLARAVAL,0.0,6848.0,512.0,26538.0,0.0,0.0,0.0,0.0,0.0,0.0,16820.0,0.0
MG-CLARO DOS POCOES,1696.0,19260.0,0.0,29808.0,0.0,0.0,0.0,0.0,0.0,0.0,19822.0,0.0
MG-CLAUDIO,1696.0,89024.0,3968.0,199004.0,0.0,0.0,0.0,0.0,0.0,0.0,80648.0,0.0
MG-COIMBRA,0.0,29104.0,0.0,58748.0,0.0,0.0,0.0,0.0,0.0,0.0,16748.0,0.0
MG-COLUNA,0.0,0.0,2496.0,25632.0,0.0,0.0,0.0,0.0,0.0,0.0,18868.0,7936.0
MG-COMENDADOR GOMES,0.0,8560.0,0.0,32528.0,0.0,0.0,0.0,0.0,0.0,0.0,10746.0,0.0
MG-COMERCINHO,0.0,20330.0,3638.0,77364.0,8132.0,0.0,0.0,0.0,0.0,0.0,16430.0,0.0
MG-CONCEICAO DA APARECIDA,0.0,23540.0,1152.0,64546.0,0.0,0.0,0.0,0.0,0.0,0.0,29782.0,0.0
MG-CONCEICAO DA BARRA DE MINAS,0.0,5778.0,0.0,42952.0,0.0,0.0,0.0,0.0,0.0,0.0,7102.0,0.0
MG-CONCEICAO DAS ALAGOAS,3392.0,94160.0,6400.0,184534.0,0.0,0.0,0.0,0.0,0.0,0.0,72292.0,0.0
MG-CONCEICAO DAS PEDRAS,742.0,5778.0,0.0,11858.0,0.0,0.0,0.0,0.0,0.0,0.0,6890.0,0.0
MG-CONCEICAO DE IPANEMA,0.0,7062.0,0.0,33625.0,0.0,0.0,0.0,0.0,0.0,0.0,8586.0,0.0
MG-CONCEICAO DO MATO DENTRO,0.0,43228.0,2752.0,60048.0,0.0,0.0,0.0,0.0,0.0,0.0,53742.0,2048.0
MG-CONCEICAO DO PARA,0.0,5778.0,320.0,18630.0,0.0,0.0,0.0,0.0,0.0,0.0,12932.0,0.0
MG-CONCEICAO DO RIO VERDE,1802.0,40660.0,8082.0,69794.0,0.0,0.0,0.0,0.0,0.0,0.0,33570.0,0.0
MG-CONCEICAO DOS OUROS,1696.0,30816.0,0.0,74296.0,0.0,0.0,0.0,0.0,0.0,0.0,35636.0,0.0
MG-CONEGO MARINHO,0.0,19474.0,640.0,25776.0,0.0,0.0,0.0,0.0,0.0,0.0,19244.0,0.0
MG-CONFINS,2756.0,35738.0,768.0,32567.0,0.0,0.0,0.0,0.0,0.0,0.0,18338.0,0.0
MG-CONGONHAL,0.0,25166.4,0.0,37785.6,0.0,0.0,0.0,0.0,0.0,0.0,16790.4,0.0
MG-CONGONHAS,9328.0,71904.0,10521.6,613442.0,0.0,0.0,0.0,0.0,0.0,0.0,145538.0,0.0
MG-CONGONHAS DO NORTE,0.0,0.0,0.0,11808.0,0.0,0.0,0.0,0.0,0.0,0.0,10176.0,0.0
MG-CONQUISTA,0.0,16478.0,0.0,31032.0,0.0,0.0,0.0,0.0,0.0,0.0,16246.0,0.0
MG-CONSELHEIRO LAFAIETE,7208.0,118556.0,10416.0,620720.0,19584.0,0.0,0.0,2470.8,0.0,0.0,257348.0,0.0
MG-CONSELHEIRO PENA,0.0,45368.0,3776.0,116548.0,0.0,0.0,0.0,0.0,0.0,0.0,67126.0,0.0
MG-CONSOLACAO,0.0,4622.4,0.0,9286.4,0.0,0.0,0.0,0.0,0.0,0.0,4849.6,0.0
MG-CONTAGEM,59148.0,734020.0,194944.0,3635284.0,255496.0,0.0,0.0,20448.0,0.0,0.0,1036788.0,0.0
MG-COQUEIRAL,0.0,17762.0,3200.0,14904.0,0.0,0.0,0.0,0.0,0.0,0.0,22472.0,0.0
MG-CORACAO DE JESUS,1060.0,54998.0,1344.0,36358.0,0.0,0.0,0.0,0.0,0.0,0.0,49608.0,3888.0
MG-CORDISBURGO,0.0,0.0,1024.0,21714.0,0.0,0.0,0.0,0.0,0.0,0.0,16334.0,0.0
MG-CORDISLANDIA,0.0,12198.0,0.0,6838.0,0.0,0.0,0.0,0.0,0.0,0.0,8480.0,0.0
MG-CORINTO,0.0,39204.8,2457.6,174402.0,0.0,0.0,0.0,0.0,0.0,0.0,43672.0,0.0
MG-COROACI,0.0,22470.0,0.0,66096.0,0.0,0.0,0.0,0.0,0.0,0.0,26252.0,0.0
MG-COROMANDEL,1378.0,72546.0,2240.0,68632.0,0.0,0.0,0.0,0.0,0.0,0.0,54272.0,0.0
MG-CORONEL FABRICIANO,3794.8,392476.0,40848.0,941326.0,0.0,0.0,0.0,0.0,0.0,0.0,222362.0,0.0
MG-CORONEL MURTA,0.0,27563.2,0.0,41875.2,0.0,0.0,0.0,0.0,0.0,0.0,15603.2,0.0
MG-CORONEL PACHECO,0.0,0.0,0.0,24480.0,0.0,0.0,0.0,0.0,0.0,0.0,8268.0,0.0
MG-CORONEL XAVIER CHAVES,0.0,0.0,0.0,18504.0,0.0,0.0,0.0,0.0,0.0,0.0,9858.0,0.0
MG-CORREGO DANTA,0.0,7276.0,0.0,10728.0,0.0,0.0,0.0,0.0,0.0,0.0,7354.0,0.0
MG-CORREGO DO BOM JESUS,0.0,6206.0,0.0,20100.0,0.0,0.0,0.0,0.0,0.0,0.0,5936.0,0.0
MG-CORREGO FUNDO,0.0,13268.0,0.0,38122.0,0.0,0.0,0.0,0.0,0.0,0.0,16052.0,0.0
MG-CORREGO NOVO,0.0,14338.0,0.0,15696.0,0.0,0.0,0.0,0.0,0.0,0.0,7526.0,0.0
