#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
2018;AC;MANCIO LIMA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);7208
2018;AC;MANCIO LIMA;MUNICIPAL;CRECHE;99082
2018;AC;MANCIO LIMA;MUNICIPAL;EJA;7424
2018;AC;MANCIO LIMA;MUNICIPAL;ENSINO FUNDAMENTAL;197034
2018;AC;MANCIO LIMA;MUNICIPAL;INDï¿½GENA;9056
2018;AC;MANCIO LIMA;MUNICIPAL;PRï¿½-ESCOLA;73458
2018;AC;MANOEL URBANO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2226
2018;AC;MANOEL URBANO;MUNICIPAL;CRECHE;28248
2018;AC;MANOEL URBANO;MUNICIPAL;EJA;1856
2018;AC;MANOEL URBANO;MUNICIPAL;ENSINO FUNDAMENTAL;100584
2018;AC;MANOEL URBANO;MUNICIPAL;PRï¿½-ESCOLA;30634
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);5512
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;CRECHE;56068
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;EJA;15936
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;ENSINO FUNDAMENTAL;348294
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;INDï¿½GENA;96602
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;69523,2
2018;AC;MARECHAL THAUMATURGO;MUNICIPAL;PRï¿½-ESCOLA;68370
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3922
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;CRECHE;8774
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;EJA;9728
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;ENSINO FUNDAMENTAL;157870
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;16358,4
2018;AC;PLACIDO DE CASTRO;MUNICIPAL;PRï¿½-ESCOLA;64130
2018;AC;PORTO ACRE;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);1272
2018;AC;PORTO ACRE;MUNICIPAL;ENSINO FUNDAMENTAL;69062,4
2018;AC;PORTO ACRE;MUNICIPAL;PRï¿½-ESCOLA;47572,8
2018;AC;PORTO WALTER;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3180
2018;AC;PORTO WALTER;MUNICIPAL;CRECHE;18404
2018;AC;PORTO WALTER;MUNICIPAL;EJA;16256
2018;AC;PORTO WALTER;MUNICIPAL;ENSINO FUNDAMENTAL;156456
2018;AC;PORTO WALTER;MUNICIPAL;PRï¿½-ESCOLA;51092
2018;AC;RIO BRANCO;ESTADUAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);382872
2018;AC;RIO BRANCO;ESTADUAL;EJA;2475012
2018;AC;RIO BRANCO;ESTADUAL;ENSINO FUNDAMENTAL;6835224
2018;AC;RIO BRANCO;ESTADUAL;ENSINO Mï¿½DIO;3152538
2018;AC;RIO BRANCO;ESTADUAL;ENSINO Mï¿½DIO INTEGRAL;1399956
2018;AC;RIO BRANCO;ESTADUAL;INDï¿½GENA;779398
2018;AC;RIO BRANCO;ESTADUAL;PRï¿½-ESCOLA;1696
